School Code,School Name,School Address,City,Zip,State
30488,University High School,421 N. Arcadia Blvd.,Tucson,85711,AZ
30492,Pusch Ridge Christian Academy,,,,AZ
30497,Mountain View High School,3901 W. Linda Vista Blvd.,Tucson,85742,AZ
30525,Sunnyside High School,1725 E Bilby Rd,Tucson,85706,AZ
30537,Vail Academy and High School,7762 E. Science Park Dr.,Tucson,85747,AZ
30654,PVOnline High School,15002 N. 32nd Street,Phoenix,85032,AZ
30662,Shadow Ridge High School,10909 N. Perryville Road,Surprise,85388,AZ
30668,Perry High School,1919 E. Queen Creek Rd.,Gilbert,85297,AZ
30690,Poston Butte High School,32375 North Gantzel Road,San Tan Valley,85143,AZ
30696,Campo Verde High School,3870 South Quartz Street,Gilbert,85297,AZ
30711,Arizona College Prep-Erie Campus,1150 W. Erie,Chandler,85224,AZ
30728,BASIS Flagstaff,1700 N. Gemini Drive,Flagstaff,86001,AZ
30771,American Leadership Academy Ironwood 7-12,463 W. Combs Rd,San Tan Valley,85141,AZ
30780,Western School of Science and Technology - CFA,,,,AZ
30800,BASIS Ahwatukee,10210 S. 50th Place,Phoenix,85044,AZ
30820,Casteel High School,,,,AZ
33769,Valley Vista High School,15550 N. Parkview Place,Surprise,85374,AZ
40003,Springdale School of Innovation,,,,AR
40004,Bentonville West High School,,,,AR
40035,Arkadelphia High School,401 HIGH SCHOOL RD,ARKADELPHIA,71923,AR
40101,Kallion Learning Company Monticello,,,,AR
40145,Beebe High School,1201 W CENTER ST,BEEBE,72012,AR
40170,Benton High School,,,,AR
40175,Bentonville High School,1901 SE J ST,BENTONVILLE,72712,AR
40310,Bryant High School,201 SULLIVAN DR,BRYANT,72022,AR
40320,Cabot High School,,,,AR
40414,Life Way Christian School,,,,AR
40490,Conway High School,,,,AR
40580,Decatur High School,1498 STADIUM AVE,DECATUR,72722,AR
40675,Earle High School,1401 THIRD ST,EARLE,72331,AR
